"Nom"	"PHYLUM"	"CLASSE"	"ORDRE"	"FAMILLE"	"CD_REF"	"LB_NOM"	"NOM_VALIDE"	"NOM_VERN"	"LRN"	"LRN_det"	"LRR"	"LRR_det"	"DH"	"DH_det"	"PN"	"PN_det"	"PR"	"PR_det"	"PD"	"PD_det"	"ZNIEFF"
"Grillon des bois  ( Nemobius sylvestris )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Trigonidiidae"	65932	"Nemobius sylvestris"	"Nemobius sylvestris (Bosc, 1792)"	"Grillon des bois, Grillon forestier, Nemobie forestier, Némobie forestière"			"LC"	""									
"Grillon des marais  ( Pteronemobius heydenii )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Trigonidiidae"	65934	"Pteronemobius heydenii"	"Pteronemobius heydenii (Fischer, 1853)"	"Grillon des marais"			"NT"	"pr. B2b (ii,iii)"									
"Grillon des torrents  ( Pteronemobius lineolatus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Trigonidiidae"	65935	"Pteronemobius lineolatus"	"Pteronemobius lineolatus (Brullé, 1835)"	"Grillon des torrents"			"VU"	"D2"									
"Grillon des bastides  ( Gryllomorpha dalmatina )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Gryllidae"	65938	"Gryllomorpha dalmatina"	"Gryllomorpha dalmatina (Ocskay, 1832)"	"Grillon des bastides, Grillon de Dalmatie"			"LC"	""									
"Grillon des jas  ( Gryllomorpha uclensis )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Gryllidae"	65939	"Gryllomorpha uclensis"	"Gryllomorpha uclensis Pantel, 1890"	"Grillon des jas"			"LC"	""									
"Grillon d'Italie  ( Oecanthus pellucens )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Gryllidae"	65944	"Oecanthus pellucens"	"Oecanthus pellucens (Scopoli, 1763)"	"Grillon d'Italie, Oecanthe transparent, Grillon transparent, Vairët"			"LC"	""									
"Grillon des jonchères  ( Trigonidium cicindeloides )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Trigonidiidae"	65947	"Trigonidium cicindeloides"	"Trigonidium cicindeloides Rambur, 1838"	"Grillon des jonchères"			"EN"	"B2ab(ii,iii)"									"Déterminante"
"Fourmigril provençal  ( Myrmecophilus myrmecophilus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Myrmecophilidae"	65950	"Myrmecophilus myrmecophilus"	"Myrmecophilus myrmecophilus (Savi, 1819)"	"Fourmigril provençal,  Myrmécophile provençal"			"DD"	""									
"Fourmigril commun  ( Myrmecophilus acervorum )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Myrmecophilidae"	65951	"Myrmecophilus acervorum"	"Myrmecophilus acervorum (Panzer, 1799)"	"Fourmigril commun, Myrmécophile social, Myrmécophile sociale"			"DD"	""									
"Fourmigril cévenol  ( Myrmecophilus aequispina )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Myrmecophilidae"	65952	"Myrmecophilus aequispina"	"Myrmecophilus aequispina Chopard, 1923"	"Fourmigril cévenol,  Myrmécophile cévenol"			"DD"	""									
"Grillon des Cistes  ( Arachnocephalus vestitus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Mogoplistidae"	65955	"Arachnocephalus vestitus"	"Arachnocephalus vestitus Costa, 1855"	"Grillon des Cistes"			"LC"	""									
"Grillon maritime  ( Pseudomogoplistes squamiger )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Mogoplistidae"	65960	"Pseudomogoplistes squamiger"	"Pseudomogoplistes squamiger (Fischer, 1853)"	"Grillon maritime, Grillon littoral"			"NT"	"pr. B2b (ii,iii,iv)"									"Déterminante"
