"Nom"	"PHYLUM"	"CLASSE"	"ORDRE"	"FAMILLE"	"CD_REF"	"LB_NOM"	"NOM_VALIDE"	"NOM_VERN"	"LRN"	"LRN_det"	"LRR"	"LRR_det"	"DH"	"DH_det"	"PN"	"PN_det"	"PR"	"PR_det"	"PD"	"PD_det"	"ZNIEFF"
"Grillon domestique  ( Acheta domesticus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Gryllidae"	65918	"Acheta domesticus"	"Acheta domesticus (Linnaeus, 1758)"	"Grillon domestique, Grillon du foyer, Cri-cri, Grelet, Grillon des maisons, Grillet, Grillot, Crinchon, Guersillon, Petit Cheval du Bon Dieu"			"NA"	""									
"Grillon noirâtre  ( Melanogryllus desertus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Gryllidae"	65923	"Melanogryllus desertus"	"Melanogryllus desertus (Pallas, 1771)"	"Grillon noirâtre, Grillon pubescent"			"LC"	""									
"Grillon testacé  ( Eugryllodes pipiens )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Gryllidae"	65928	"Eugryllodes pipiens"	"Eugryllodes pipiens (Dufour, 1820)"	"Grillon testacé, Grillon de montagne"			"LC"	""									
"Grillon des bois  ( Nemobius sylvestris )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Trigonidiidae"	65932	"Nemobius sylvestris"	"Nemobius sylvestris (Bosc, 1792)"	"Grillon des bois, Grillon forestier, Nemobie forestier, Némobie forestière"			"LC"	""									
"Grillon des marais  ( Pteronemobius heydenii )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Trigonidiidae"	65934	"Pteronemobius heydenii"	"Pteronemobius heydenii (Fischer, 1853)"	"Grillon des marais"			"LC"	""									
"Grillon des torrents  ( Pteronemobius lineolatus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Trigonidiidae"	65935	"Pteronemobius lineolatus"	"Pteronemobius lineolatus (Brullé, 1835)"	"Grillon des torrents"			"DD"	""									"Continentale – Massif central : Déterminante"
"Grillon des bastides  ( Gryllomorpha dalmatina )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Gryllidae"	65938	"Gryllomorpha dalmatina"	"Gryllomorpha dalmatina (Ocskay, 1832)"	"Grillon des bastides, Grillon de Dalmatie"			"LC"	""									
"Grillon des jas  ( Gryllomorpha uclensis )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Gryllidae"	65939	"Gryllomorpha uclensis"	"Gryllomorpha uclensis Pantel, 1890"	"Grillon des jas"			"DD"	""									
"Grillon d'Italie  ( Oecanthus pellucens )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Gryllidae"	65944	"Oecanthus pellucens"	"Oecanthus pellucens (Scopoli, 1763)"	"Grillon d'Italie, Oecanthe transparent, Grillon transparent, Vairët"			"LC"	""									
"Fourmigril cévenol  ( Myrmecophilus aequispina )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Myrmecophilidae"	65952	"Myrmecophilus aequispina"	"Myrmecophilus aequispina Chopard, 1923"	"Fourmigril cévenol,  Myrmécophile cévenol"			"DD"	""									
"Grillon des Cistes  ( Arachnocephalus vestitus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Mogoplistidae"	65955	"Arachnocephalus vestitus"	"Arachnocephalus vestitus Costa, 1855"	"Grillon des Cistes"			"DD"	""									
