"Nom"	"PHYLUM"	"CLASSE"	"ORDRE"	"FAMILLE"	"CD_REF"	"LB_NOM"	"NOM_VALIDE"	"NOM_VERN"	"LRN"	"LRN_det"	"LRR"	"LRR_det"	"DH"	"DH_det"	"PN"	"PN_det"	"PR"	"PR_det"	"PD"	"PD_det"	"ZNIEFF"
"*  -  ( Trichaphaenops gounellei )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	222673	"Trichaphaenops gounellei"	"Trichaphaenops gounellei (Bedel, 1880)"	""							"NI3"	""					
"*  -  ( Trichaphaenops obesus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	222674	"Trichaphaenops obesus"	"Trichaphaenops obesus (Abeille de Perrin, 1886)"	""							"NI3"	""					
"*  -  ( Trichaphaenops sollaudi )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	222675	"Trichaphaenops sollaudi"	"Trichaphaenops sollaudi Jeannel, 1916"	""							"NI3"	""					
"-  ( Rhysodes sulcatus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Rhysodidae"	222951	"Rhysodes sulcatus"	"Rhysodes sulcatus (Fabricius, 1787)"	""					"CDH2"	""							"Déterminante stricte"
"-  ( Carabus alysidotus stagnalisaequalis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	223017	"Carabus alysidotus stagnalisaequalis"	"Carabus alysidotus Illiger, 1798"	""													"Déterminante stricte"
"-  ( Carabus pseudomonticola )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	223018	"Carabus pseudomonticola"	"Carabus pseudomonticola Vacher de Lapouge, 1908"	""													"Déterminante stricte"
"*  Carabe noduleux  ( Carabus nodulosus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	223028	"Carabus nodulosus"	"Carabus nodulosus Creutzer, 1799"	"Carabe noduleux"					"CDH2, CDH4"	" "	"NI2"	""					
"-  ( Edaphopaussus favieri )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	223056	"Edaphopaussus favieri"	"Paussus favieri Fairmaire, 1851"	""													"Déterminante stricte"
"-  ( Leiopus punctulatus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Cerambycidae"	223075	"Leiopus punctulatus"	"Leiopus punctulatus (Paykull, 1800)"	""													"Déterminante stricte"
"-  ( Leioderes kollari )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Cerambycidae"	223114	"Leioderes kollari"	"Leioderes kollari Redtenbacher, 1849"	""													"Déterminante stricte"
