"Nom"	"PHYLUM"	"CLASSE"	"ORDRE"	"FAMILLE"	"CD_REF"	"LB_NOM"	"NOM_VALIDE"	"NOM_VERN"	"LRN_N"	"LRN_N_det"	"LRN_H"	"LRN_H_det"	"LRN_P"	"LRN_P_det"	"LRR_N"	"LRR_N_det"	"LRR_H"	"LRR_H_det"	"LRR_P"	"LRR_P_det"	"DO"	"DO_det"	"PN"	"PN_det"	"ZNIEFF"
"*  Grive de Naumann  ( Turdus naumanni )"	"Chordata"	"Aves"	"Passeriformes"	"Turdidae"	4123	"Turdus naumanni"	"Turdus naumanni Temminck, 1820"	"Grive de Naumann, Grive à ailes rousses"					"NA"	"b"									"NO4"	""	
"Grive litorne  ( Turdus pilaris )"	"Chordata"	"Aves"	"Passeriformes"	"Turdidae"	4127	"Turdus pilaris"	"Turdus pilaris Linnaeus, 1758"	"Grive litorne"	"LC"	""	"LC"	""			"VU"	"D1"					"CDO22"	""			
"Grive musicienne  ( Turdus philomelos )"	"Chordata"	"Aves"	"Passeriformes"	"Turdidae"	4129	"Turdus philomelos"	"Turdus philomelos C. L. Brehm, 1831"	"Grive musicienne"	"LC"	""	"NA"	"d"	"NA"	"d"	"LC"	""					"CDO22"	""			
"*  Grive à gorge noire  ( Turdus atrogularis )"	"Chordata"	"Aves"	"Passeriformes"	"Turdidae"	4134	"Turdus atrogularis"	"Turdus atrogularis Jarocki, 1819"	"Grive à gorge noire"					"NA"	"d"									"NO4"	""	
"Grive mauvis  ( Turdus iliacus )"	"Chordata"	"Aves"	"Passeriformes"	"Turdidae"	4137	"Turdus iliacus"	"Turdus iliacus Linnaeus, 1766"	"Grive mauvis"			"LC"	""	"NA"	"d"							"CDO22"	""			
"Grive draine  ( Turdus viscivorus )"	"Chordata"	"Aves"	"Passeriformes"	"Turdidae"	4142	"Turdus viscivorus"	"Turdus viscivorus Linnaeus, 1758"	"Grive draine"	"LC"	""	"NA"	"d"	"NA"	"d"	"LC"	""					"CDO22"	""			
"*  Bouscarle de Cetti  ( Cettia cetti )"	"Chordata"	"Aves"	"Passeriformes"	"Scotocercidae"	4151	"Cettia cetti"	"Cettia cetti (Temminck, 1820)"	"Bouscarle de Cetti"	"NT"	"pr. A2b"					"LC"	"pr. A2b (-1)"							"NO3"	""	
"*  Cisticole des joncs  ( Cisticola juncidis )"	"Chordata"	"Aves"	"Passeriformes"	"Cisticolidae"	4155	"Cisticola juncidis"	"Cisticola juncidis (Rafinesque, 1810)"	"Cisticole des joncs"	"VU"	"A2b"					"LC"	"VU (B1b(v)c(i,ii,iv)) (-2)"							"NO3"	""	
"*  Locustelle de Pallas  ( Locustella certhiola )"	"Chordata"	"Aves"	"Passeriformes"	"Locustellidae"	4161	"Locustella certhiola"	"Locustella certhiola (Pallas, 1811)"	"Locustelle de Pallas"					"NA"	"b"									"NO4"	""	
"*  Locustelle tachetée  ( Locustella naevia )"	"Chordata"	"Aves"	"Passeriformes"	"Locustellidae"	4167	"Locustella naevia"	"Locustella naevia (Boddaert, 1783)"	"Locustelle tachetée"	"NT"	"pr. A2b"			"NA"	"c"	"DD"	""							"NO3"	""	
"*  Locustelle fluviatile  ( Locustella fluviatilis )"	"Chordata"	"Aves"	"Passeriformes"	"Locustellidae"	4170	"Locustella fluviatilis"	"Locustella fluviatilis (Wolf, 1810)"	"Locustelle fluviatile"					"NA"	"b"									"NO4"	""	
"*  Locustelle luscinioïde  ( Locustella luscinioides )"	"Chordata"	"Aves"	"Passeriformes"	"Locustellidae"	4172	"Locustella luscinioides"	"Locustella luscinioides (Savi, 1824)"	"Locustelle luscinioïde"	"EN"	"A2b"			"NA"	"c"	"DD"	""							"NO3"	""	
"*  Lusciniole à moustaches  ( Acrocephalus melanopogon )"	"Chordata"	"Aves"	"Passeriformes"	"Acrocephalidae"	4180	"Acrocephalus melanopogon"	"Acrocephalus melanopogon (Temminck, 1823)"	"Lusciniole à moustaches"	"EN"	"A2b"					"VU"	"D1"					"CDO1"	""	"NO3"	""	"Déterminante à critère - Zone de reproduction avec preuve de reproduction"
"*  Phragmite aquatique  ( Acrocephalus paludicola )"	"Chordata"	"Aves"	"Passeriformes"	"Acrocephalidae"	4184	"Acrocephalus paludicola"	"Acrocephalus paludicola (Vieillot, 1817)"	"Phragmite aquatique"					"VU"	"A2b"							"CDO1"	""	"NO3"	""	
"*  Phragmite des joncs  ( Acrocephalus schoenobaenus )"	"Chordata"	"Aves"	"Passeriformes"	"Acrocephalidae"	4187	"Acrocephalus schoenobaenus"	"Acrocephalus schoenobaenus (Linnaeus, 1758)"	"Phragmite des joncs"	"LC"	""			"DD"	""									"NO3"	""	
"*  Rousserolle des buissons  ( Acrocephalus dumetorum )"	"Chordata"	"Aves"	"Passeriformes"	"Acrocephalidae"	4190	"Acrocephalus dumetorum"	"Acrocephalus dumetorum Blyth, 1849"	"Rousserolle des buissons"					"NA"	"b"									"NO4"	""	
"*  Rousserolle verderolle  ( Acrocephalus palustris )"	"Chordata"	"Aves"	"Passeriformes"	"Acrocephalidae"	4192	"Acrocephalus palustris"	"Acrocephalus palustris (Bechstein, 1798)"	"Rousserolle verderolle"	"LC"	""			"NA"	"d"									"NO3"	""	
"*  Rousserolle effarvatte  ( Acrocephalus scirpaceus )"	"Chordata"	"Aves"	"Passeriformes"	"Acrocephalidae"	4195	"Acrocephalus scirpaceus"	"Acrocephalus scirpaceus (Hermann, 1804)"	"Rousserolle effarvatte"	"LC"	""			"NA"	"c"	"NT"	"pr. B(1+2)b(iii)"							"NO3"	""	
"*  Rousserolle turdoïde  ( Acrocephalus arundinaceus )"	"Chordata"	"Aves"	"Passeriformes"	"Acrocephalidae"	4198	"Acrocephalus arundinaceus"	"Acrocephalus arundinaceus (Linnaeus, 1758)"	"Rousserolle turdoïde"	"VU"	"A2b C1"			"NA"	"c"	"VU"	"D1"							"NO3"	""	
"*  Hypolaïs ictérine  ( Hippolais icterina )"	"Chordata"	"Aves"	"Passeriformes"	"Acrocephalidae"	4212	"Hippolais icterina"	"Hippolais icterina (Vieillot, 1817)"	"Hypolaïs ictérine, Grand contrefaisant"	"VU"	"A2b"			"NA"	"d"									"NO3"	""	
"*  Hypolaïs polyglotte  ( Hippolais polyglotta )"	"Chordata"	"Aves"	"Passeriformes"	"Acrocephalidae"	4215	"Hippolais polyglotta"	"Hippolais polyglotta (Vieillot, 1817)"	"Hypolaïs polyglotte, Petit contrefaisant"	"LC"	""			"NA"	"d"	"LC"	""							"NO3"	""	
"*  Fauvette pitchou  ( Sylvia undata )"	"Chordata"	"Aves"	"Passeriformes"	"Sylviidae"	4221	"Sylvia undata"	"Sylvia undata (Boddaert, 1783)"	"Fauvette pitchou"	"EN"	"A2b"					"VU"	"EN (A2b) (-1)"					"CDO1"	""	"NO3"	""	
"*  Fauvette pitchou  ( Sylvia undata undata )"	"Chordata"	"Aves"	"Passeriformes"	"Sylviidae"	4224	"Sylvia undata undata"	"Sylvia undata undata (Boddaert, 1783)"	"Fauvette pitchou (corse)"													"CDO1"	""	"NO3"	""	
"*  Fauvette à lunettes  ( Sylvia conspicillata )"	"Chordata"	"Aves"	"Passeriformes"	"Sylviidae"	4227	"Sylvia conspicillata"	"Sylvia conspicillata Temminck, 1820"	"Fauvette à lunettes"	"EN"	"A2b"					"CR"	"C2a(i)"							"NO3"	""	"Déterminante à critère - 3 couples avec preuve de reproduction ou présence du cortège avifaunistique des déterminantes ZNIEFF inféodées aux garrigues si moins de 3 couples"
"*  Fauvette mélanocéphale  ( Sylvia melanocephala )"	"Chordata"	"Aves"	"Passeriformes"	"Sylviidae"	4232	"Sylvia melanocephala"	"Sylvia melanocephala (Gmelin, 1789)"	"Fauvette mélanocéphale"	"NT"	"pr. A2b"					"LC"	"pr. A2b (-1)"							"NO3"	""	
"*  Fauvette naine  ( Sylvia nana )"	"Chordata"	"Aves"	"Passeriformes"	"Sylviidae"	4239	"Sylvia nana"	"Sylvia nana (Hemprich & Ehrenberg, 1833)"	"Fauvette naine"					"NA"	"b"									"NO4"	""	
"*  Fauvette épervière  ( Sylvia nisoria )"	"Chordata"	"Aves"	"Passeriformes"	"Sylviidae"	4245	"Sylvia nisoria"	"Sylvia nisoria (Bechstein, 1792)"	"Fauvette épervière"					"NA"	"b"							"CDO1"	""	"NO4"	""	
"*  Fauvette grisette  ( Sylvia communis )"	"Chordata"	"Aves"	"Passeriformes"	"Sylviidae"	4252	"Sylvia communis"	"Sylvia communis Latham, 1787"	"Fauvette grisette"	"LC"	""			"DD"	""	"LC"	""							"NO3"	""	
"*  Fauvette des jardins  ( Sylvia borin )"	"Chordata"	"Aves"	"Passeriformes"	"Sylviidae"	4254	"Sylvia borin"	"Sylvia borin (Boddaert, 1783)"	"Fauvette des jardins"	"NT"	"pr. A2b"			"DD"	""	"LC"	""							"NO3"	""	
"*  Fauvette à tête noire  ( Sylvia atricapilla )"	"Chordata"	"Aves"	"Passeriformes"	"Sylviidae"	4257	"Sylvia atricapilla"	"Sylvia atricapilla (Linnaeus, 1758)"	"Fauvette à tête noire"	"LC"	""	"NA"	"c"	"NA"	"c"	"LC"	""							"NO3"	""	
"*  Pouillot boréal  ( Phylloscopus borealis )"	"Chordata"	"Aves"	"Passeriformes"	"Phylloscopidae"	4264	"Phylloscopus borealis"	"Phylloscopus borealis (Blasius, 1858)"	"Pouillot boréal"					"NA"	"b"									"NO4"	""	
"*  Pouillot de Schwarz  ( Phylloscopus proregulus )"	"Chordata"	"Aves"	"Passeriformes"	"Phylloscopidae"	4267	"Phylloscopus proregulus"	"Phylloscopus proregulus (Pallas, 1811)"	"Pouillot de Schwarz, Pouillot de Pallas, Pouillot roitelet"					"NA"	"b"									"NO4"	""	
"*  Pouillot de Bonelli  ( Phylloscopus bonelli )"	"Chordata"	"Aves"	"Passeriformes"	"Phylloscopidae"	4269	"Phylloscopus bonelli"	"Phylloscopus bonelli (Vieillot, 1819)"	"Pouillot de Bonelli"	"LC"	""			"NA"	"d"	"LC"	""							"NO3"	""	
"*  Pouillot siffleur  ( Phylloscopus sibilatrix )"	"Chordata"	"Aves"	"Passeriformes"	"Phylloscopidae"	4272	"Phylloscopus sibilatrix"	"Phylloscopus sibilatrix (Bechstein, 1793)"	"Pouillot siffleur"	"NT"	"pr. A2b"			"NA"	"d"	"EN"	"CR (D1) (-1)"							"NO3"	""	
"*  Pouillot verdâtre  ( Phylloscopus trochiloides )"	"Chordata"	"Aves"	"Passeriformes"	"Phylloscopidae"	4275	"Phylloscopus trochiloides"	"Phylloscopus trochiloides (Sundevall, 1837)"	"Pouillot verdâtre"					"NA"	"b"									"NO4"	""	
"*  Pouillot véloce  ( Phylloscopus collybita )"	"Chordata"	"Aves"	"Passeriformes"	"Phylloscopidae"	4280	"Phylloscopus collybita"	"Phylloscopus collybita (Vieillot, 1817)"	"Pouillot véloce"	"LC"	""	"NA"	"d"	"NA"	"c"	"LC"	"pr. A2b (-1)"							"NO3"	""	
"*  -  ( Phylloscopus collybita collyba )"	"Chordata"	"Aves"	"Passeriformes"	"Phylloscopidae"	4285	"Phylloscopus collybita collyba"	"Phylloscopus collybita collyba (Vieillot, 1817)"	""															"NO3"	""	
"*  -  ( Phylloscopus collybita abietinus )"	"Chordata"	"Aves"	"Passeriformes"	"Phylloscopidae"	4287	"Phylloscopus collybita abietinus"	"Phylloscopus collybita abietinus (Nilsson, 1919)"	""															"NO3"	""	
"*  Pouillot de Sibérie  ( Phylloscopus collybita tristis )"	"Chordata"	"Aves"	"Passeriformes"	"Phylloscopidae"	4288	"Phylloscopus collybita tristis"	"Phylloscopus collybita tristis Blyth, 1843"	"Pouillot de Sibérie"															"NO3"	""	
"*  Pouillot fitis  ( Phylloscopus trochilus )"	"Chordata"	"Aves"	"Passeriformes"	"Phylloscopidae"	4289	"Phylloscopus trochilus"	"Phylloscopus trochilus (Linnaeus, 1758)"	"Pouillot fitis"	"NT"	"pr. A2b"			"DD"	""	"NA"	"b"							"NO3"	""	
"*  -  ( Phylloscopus trochilus trochilus )"	"Chordata"	"Aves"	"Passeriformes"	"Phylloscopidae"	4292	"Phylloscopus trochilus trochilus"	"Phylloscopus trochilus trochilus (Linnaeus, 1758)"	""															"NO3"	""	
"*  -  ( Phylloscopus trochilus acredula )"	"Chordata"	"Aves"	"Passeriformes"	"Phylloscopidae"	4294	"Phylloscopus trochilus acredula"	"Phylloscopus trochilus acredula (Linnaeus, 1758)"	""															"NO3"	""	
"*  Pouillot de Pallas  ( Phylloscopus inornatus )"	"Chordata"	"Aves"	"Passeriformes"	"Phylloscopidae"	4297	"Phylloscopus inornatus"	"Phylloscopus inornatus (Blyth, 1842)"	"Pouillot de Pallas, Pouillot à grands sourcils"					"NA"	"b"									"NO4"	""	
"*  Pouillot à grands sourcils  ( Phylloscopus schwarzi )"	"Chordata"	"Aves"	"Passeriformes"	"Phylloscopidae"	4300	"Phylloscopus schwarzi"	"Phylloscopus schwarzi (Radde, 1863)"	"Pouillot à grands sourcils, Pouillot de Schwarz"					"NA"	"b"									"NO4"	""	
"*  Pouillot brun  ( Phylloscopus fuscatus )"	"Chordata"	"Aves"	"Passeriformes"	"Phylloscopidae"	4304	"Phylloscopus fuscatus"	"Phylloscopus fuscatus (Blyth, 1842)"	"Pouillot brun"					"NA"	"b"									"NO4"	""	
"*  Roitelet huppé  ( Regulus regulus )"	"Chordata"	"Aves"	"Passeriformes"	"Regulidae"	4308	"Regulus regulus"	"Regulus regulus (Linnaeus, 1758)"	"Roitelet huppé"	"NT"	"pr. A2b"	"NA"	"d"	"NA"	"d"	"LC"	""							"NO3"	""	
"*  Gobemouche gris  ( Muscicapa striata )"	"Chordata"	"Aves"	"Passeriformes"	"Muscicapidae"	4319	"Muscicapa striata"	"Muscicapa striata (Pallas, 1764)"	"Gobemouche gris"	"NT"	"pr. A2b"			"DD"	""	"LC"	""							"NO3"	""	
"*  Gobemouche nain  ( Ficedula parva )"	"Chordata"	"Aves"	"Passeriformes"	"Muscicapidae"	4324	"Ficedula parva"	"Ficedula parva (Bechstein, 1792)"	"Gobemouche nain, Gobemouche rougeâtre"					"NA"	"b"							"CDO1"	""	"NO4"	""	
"*  Gobemouche à collier  ( Ficedula albicollis )"	"Chordata"	"Aves"	"Passeriformes"	"Muscicapidae"	4327	"Ficedula albicollis"	"Ficedula albicollis (Temminck, 1815)"	"Gobemouche à collier"	"NT"	"pr. C1"											"CDO1"	""	"NO3"	""	
"*  Gobemouche noir  ( Ficedula hypoleuca )"	"Chordata"	"Aves"	"Passeriformes"	"Muscicapidae"	4330	"Ficedula hypoleuca"	"Ficedula hypoleuca (Pallas, 1764)"	"Gobemouche noir"	"VU"	"C1+2a(i)"			"DD"	""	"EN"	"D1"							"NO3"	""	
"*  Gobe-mouche à demi-collier  ( Ficedula semitorquata )"	"Chordata"	"Aves"	"Passeriformes"	"Muscicapidae"	4334	"Ficedula semitorquata"	"Ficedula semitorquata (Homeyer, 1885)"	"Gobe-mouche à demi-collier, Gobemouche à semi collier"					"NA"	"b"							"CDO1"	""	"NO4"	""	
"*  Panure à moustaches  ( Panurus biarmicus )"	"Chordata"	"Aves"	"Passeriformes"	"Panuridae"	4338	"Panurus biarmicus"	"Panurus biarmicus (Linnaeus, 1758)"	"Panure à moustaches, Mésange à moustaches"	"LC"	""					"VU"	"D1"							"NO3"	""	
"*  Mésange à longue queue  ( Aegithalos caudatus )"	"Chordata"	"Aves"	"Passeriformes"	"Aegithalidae"	4342	"Aegithalos caudatus"	"Aegithalos caudatus (Linnaeus, 1758)"	"Mésange à longue queue, Orite à longue queue"	"LC"	""			"NA"	"b"	"LC"	""							"NO3"	""	
"*  Pie-grièche à tête rousse  ( Lanius senator )"	"Chordata"	"Aves"	"Passeriformes"	"Laniidae"	4460	"Lanius senator"	"Lanius senator Linnaeus, 1758"	"Pie-grièche à tête rousse"	"VU"	"A2b"			"NA"	"d"	"NT"	"VU (C1) (-1)"							"NO3"	""	"Déterminante à critère - 12 couples avec preuve de reproduction ou présence du cortège avifaunistique des déterminantes ZNIEFF inféodées aux agrosystèmes et garrigues si moins de 12 couples"
"*  -  ( Lanius senator senator )"	"Chordata"	"Aves"	"Passeriformes"	"Laniidae"	4462	"Lanius senator senator"	"Lanius senator senator Linnaeus, 1758"	""															"NO3"	""	
"*  -  ( Lanius senator badius )"	"Chordata"	"Aves"	"Passeriformes"	"Laniidae"	4463	"Lanius senator badius"	"Lanius senator badius Hartlaub, 1854"	""	"NT"	"pr. B2b(iii)"													"NO3"	""	
"Geai des chênes  ( Garrulus glandarius )"	"Chordata"	"Aves"	"Passeriformes"	"Corvidae"	4466	"Garrulus glandarius"	"Garrulus glandarius (Linnaeus, 1758)"	"Geai des chênes"	"LC"	""	"NA"	"d"			"LC"	""					"CDO22"	""			
"Pie bavarde  ( Pica pica )"	"Chordata"	"Aves"	"Passeriformes"	"Corvidae"	4474	"Pica pica"	"Pica pica (Linnaeus, 1758)"	"Pie bavarde"	"LC"	""					"LC"	""					"CDO22"	""			
"*  Cassenoix moucheté  ( Nucifraga caryocatactes )"	"Chordata"	"Aves"	"Passeriformes"	"Corvidae"	4480	"Nucifraga caryocatactes"	"Nucifraga caryocatactes (Linnaeus, 1758)"	"Cassenoix moucheté, Casse-noix"	"LC"	""			"NA"	"b"									"NO3"	""	
"*  -  ( Nucifraga caryocatactes caryocatactes )"	"Chordata"	"Aves"	"Passeriformes"	"Corvidae"	4482	"Nucifraga caryocatactes caryocatactes"	"Nucifraga caryocatactes caryocatactes (Linnaeus, 1758)"	""															"NO3"	""	
"*  -  ( Nucifraga caryocatactes macrorhynchus )"	"Chordata"	"Aves"	"Passeriformes"	"Corvidae"	4483	"Nucifraga caryocatactes macrorhynchus"	"Nucifraga caryocatactes macrorhynchus Brehm, 1823"	""															"NO3"	""	
"*  Chocard à bec jaune  ( Pyrrhocorax graculus )"	"Chordata"	"Aves"	"Passeriformes"	"Corvidae"	4485	"Pyrrhocorax graculus"	"Pyrrhocorax graculus (Linnaeus, 1766)"	"Chocard à bec jaune"	"LC"	""					"VU"	"D1"							"NO3"	""	
"*  Crave à bec rouge  ( Pyrrhocorax pyrrhocorax )"	"Chordata"	"Aves"	"Passeriformes"	"Corvidae"	4488	"Pyrrhocorax pyrrhocorax"	"Pyrrhocorax pyrrhocorax (Linnaeus, 1758)"	"Crave à bec rouge"	"LC"	""					"VU"	"D1"					"CDO1"	""	"NO3"	""	"Déterminante stricte"
"*  Choucas des tours  ( Corvus monedula )"	"Chordata"	"Aves"	"Passeriformes"	"Corvidae"	4494	"Corvus monedula"	"Corvus monedula Linnaeus, 1758"	"Choucas des tours"	"LC"	""	"NA"	"d"			"LC"	""					"CDO22"	""	"NO3"	""	
"*  Choucas des tours  ( Corvus monedula monedula )"	"Chordata"	"Aves"	"Passeriformes"	"Corvidae"	4497	"Corvus monedula monedula"	"Corvus monedula monedula Linnaeus, 1758"	"Choucas des tours"													"CDO22"	""	"NO3"	""	
"*  Choucas des tours oriental  ( Corvus monedula soemmeringii )"	"Chordata"	"Aves"	"Passeriformes"	"Corvidae"	4498	"Corvus monedula soemmeringii"	"Corvus monedula soemmeringii (Fischer, 1811)"	"Choucas des tours oriental"													"CDO22"	""	"NO3"	""	
"*  -  ( Corvus monedula spermologus )"	"Chordata"	"Aves"	"Passeriformes"	"Corvidae"	4499	"Corvus monedula spermologus"	"Corvus monedula spermologus (Vieillot, 1821)"	""													"CDO22"	""	"NO3"	""	
"Corbeau freux  ( Corvus frugilegus )"	"Chordata"	"Aves"	"Passeriformes"	"Corvidae"	4501	"Corvus frugilegus"	"Corvus frugilegus Linnaeus, 1758"	"Corbeau freux"	"LC"	""	"LC"	""			"LC"	"VU (D1) (-2)"					"CDO22"	""			
"Corneille noire  ( Corvus corone )"	"Chordata"	"Aves"	"Passeriformes"	"Corvidae"	4503	"Corvus corone"	"Corvus corone Linnaeus, 1758"	"Corneille noire"	"LC"	""	"NA"	"d"			"LC"	""					"CDO22"	""			
"*  Corneille mantelée  ( Corvus corone cornix )"	"Chordata"	"Aves"	"Passeriformes"	"Corvidae"	4505	"Corvus corone cornix"	"Corvus corone cornix Linnaeus, 1758"	"Corneille mantelée"			"NA"	"d"									"CDO22"	""	"NO3"	""	
"-  ( Corvus corone corone )"	"Chordata"	"Aves"	"Passeriformes"	"Corvidae"	4507	"Corvus corone corone"	"Corvus corone corone Linnaeus, 1758"	""													"CDO22"	""			
"*  Grand corbeau  ( Corvus corax )"	"Chordata"	"Aves"	"Passeriformes"	"Corvidae"	4510	"Corvus corax"	"Corvus corax Linnaeus, 1758"	"Grand corbeau"	"LC"	""					"LC"	""							"NO3"	""	
"Étourneau sansonnet  ( Sturnus vulgaris )"	"Chordata"	"Aves"	"Passeriformes"	"Sturnidae"	4516	"Sturnus vulgaris"	"Sturnus vulgaris Linnaeus, 1758"	"Étourneau sansonnet"	"LC"	""	"LC"	""	"NA"	"c"	"LC"	""					"CDO22"	""			
"*  Étourneau unicolore  ( Sturnus unicolor )"	"Chordata"	"Aves"	"Passeriformes"	"Sturnidae"	4518	"Sturnus unicolor"	"Sturnus unicolor Temminck, 1820"	"Étourneau unicolore"	"LC"	""					"NT"	"VU (D1) (-1)"							"NO3"	""	
"*  Étourneau roselin  ( Pastor roseus )"	"Chordata"	"Aves"	"Passeriformes"	"Sturnidae"	4522	"Pastor roseus"	"Pastor roseus (Linnaeus, 1758)"	"Étourneau roselin, Martin roselin"					"NA"	"b"									"NO4"	""	
"*  Moineau domestique  ( Passer domesticus )"	"Chordata"	"Aves"	"Passeriformes"	"Passeridae"	4525	"Passer domesticus"	"Passer domesticus (Linnaeus, 1758)"	"Moineau domestique"	"LC"	""			"NA"	"b"	"LC"	""							"NO3"	""	
"*  -  ( Passer domesticus domesticus )"	"Chordata"	"Aves"	"Passeriformes"	"Passeridae"	4527	"Passer domesticus domesticus"	"Passer domesticus domesticus (Linnaeus, 1758)"	""															"NO3"	""	
"*  Moineau espagnol  ( Passer hispaniolensis )"	"Chordata"	"Aves"	"Passeriformes"	"Passeridae"	4530	"Passer hispaniolensis"	"Passer hispaniolensis (Temminck, 1820)"	"Moineau espagnol"	"NA"	"b"													"NO3"	""	
"*  Moineau friquet  ( Passer montanus )"	"Chordata"	"Aves"	"Passeriformes"	"Passeridae"	4532	"Passer montanus"	"Passer montanus (Linnaeus, 1758)"	"Moineau friquet"	"EN"	"A2b"					"NT"	"pr. A2b B(1+2)b(v)"							"NO3"	""	
"*  Niverolle alpine  ( Montifringilla nivalis )"	"Chordata"	"Aves"	"Passeriformes"	"Passeridae"	4537	"Montifringilla nivalis"	"Montifringilla nivalis (Linnaeus, 1766)"	"Niverolle alpine, Niverolle des Alpes"	"LC"	""													"NO3"	""	
"*  Moineau soulcie  ( Petronia petronia )"	"Chordata"	"Aves"	"Passeriformes"	"Passeridae"	4540	"Petronia petronia"	"Petronia petronia (Linnaeus, 1766)"	"Moineau soulcie"	"LC"	""					"LC"	""							"NO3"	""	
"*  Viréo à oeil rouge  ( Vireo olivaceus )"	"Chordata"	"Aves"	"Passeriformes"	"Vireonidae"	4560	"Vireo olivaceus"	"Vireo olivaceus (Linnaeus, 1766)"	"Viréo à oeil rouge, Viréo aux yeux rouges"					"NA"	"b"									"NO4"	""	
"*  Pinson des arbres  ( Fringilla coelebs )"	"Chordata"	"Aves"	"Passeriformes"	"Fringillidae"	4564	"Fringilla coelebs"	"Fringilla coelebs Linnaeus, 1758"	"Pinson des arbres"	"LC"	""	"NA"	"d"	"NA"	"d"	"LC"	""							"NO3"	""	
"*  Pinson du nord  ( Fringilla montifringilla )"	"Chordata"	"Aves"	"Passeriformes"	"Fringillidae"	4568	"Fringilla montifringilla"	"Fringilla montifringilla Linnaeus, 1758"	"Pinson du nord, Pinson des Ardennes"			"DD"	""	"NA"	"d"									"NO3"	""	
"*  Serin cini  ( Serinus serinus )"	"Chordata"	"Aves"	"Passeriformes"	"Fringillidae"	4571	"Serinus serinus"	"Serinus serinus (Linnaeus, 1766)"	"Serin cini"	"VU"	"A2b"			"NA"	"d"	"LC"	""							"NO3"	""	
"*  Venturon montagnard  ( Carduelis citrinella )"	"Chordata"	"Aves"	"Passeriformes"	"Fringillidae"	4576	"Carduelis citrinella"	"Carduelis citrinella (Pallas, 1764)"	"Venturon montagnard"	"NT"	"pr. A2bc"					"LC"	""							"NO3"	""	
"*  Verdier d'Europe  ( Chloris chloris )"	"Chordata"	"Aves"	"Passeriformes"	"Fringillidae"	4582	"Chloris chloris"	"Chloris chloris (Linnaeus, 1758)"	"Verdier d'Europe"	"VU"	"A2b"	"NA"	"d"	"NA"	"d"	"NT"	"pr. A2b"							"NO3"	""	
"*  Chardonneret élégant  ( Carduelis carduelis )"	"Chordata"	"Aves"	"Passeriformes"	"Fringillidae"	4583	"Carduelis carduelis"	"Carduelis carduelis (Linnaeus, 1758)"	"Chardonneret élégant"	"VU"	"A2b"	"NA"	"d"	"NA"	"d"	"VU"	"A2b"							"NO3"	""	
"*  Sizerin flammé  ( Acanthis flammea )"	"Chordata"	"Aves"	"Passeriformes"	"Fringillidae"	4597	"Acanthis flammea"	"Acanthis flammea (Linnaeus, 1758)"	"Sizerin flammé"	"VU"	"A2b C1"	"NA"	"d"	"NA"	"d"									"NO3"	""	
"*  Bec-croisé des sapins  ( Loxia curvirostra )"	"Chordata"	"Aves"	"Passeriformes"	"Fringillidae"	4603	"Loxia curvirostra"	"Loxia curvirostra Linnaeus, 1758"	"Bec-croisé des sapins"	"LC"	""			"NA"	"d"	"LC"	""							"NO3"	""	
"*  Bec-croisé perroquet  ( Loxia pytyopsittacus )"	"Chordata"	"Aves"	"Passeriformes"	"Fringillidae"	4607	"Loxia pytyopsittacus"	"Loxia pytyopsittacus Borkhausen, 1793"	"Bec-croisé perroquet"					"NA"	"b"									"NO4"	""	
"*  Bec-croisé bifascié  ( Loxia leucoptera )"	"Chordata"	"Aves"	"Passeriformes"	"Fringillidae"	4609	"Loxia leucoptera"	"Loxia leucoptera Gmelin, 1789"	"Bec-croisé bifascié"					"NA"	"b"									"NO4"	""	
"*  Durbec des sapins  ( Pinicola enucleator )"	"Chordata"	"Aves"	"Passeriformes"	"Fringillidae"	4613	"Pinicola enucleator"	"Pinicola enucleator (Linnaeus, 1758)"	"Durbec des sapins"					"NA"	"b"									"NO4"	""	
"*  Roselin cramoisi  ( Carpodacus erythrinus )"	"Chordata"	"Aves"	"Passeriformes"	"Fringillidae"	4616	"Carpodacus erythrinus"	"Carpodacus erythrinus (Pallas, 1770)"	"Roselin cramoisi"	"DD"	""			"NA"	"b"									"NO3"	""	
"*  Bouvreuil pivoine  ( Pyrrhula pyrrhula )"	"Chordata"	"Aves"	"Passeriformes"	"Fringillidae"	4619	"Pyrrhula pyrrhula"	"Pyrrhula pyrrhula (Linnaeus, 1758)"	"Bouvreuil pivoine"	"VU"	"A2b"	"NA"	"d"			"VU"	"A2a"							"NO3"	""	
"*  -  ( Pyrrhula pyrrhula pyrrhula )"	"Chordata"	"Aves"	"Passeriformes"	"Fringillidae"	4621	"Pyrrhula pyrrhula pyrrhula"	"Pyrrhula pyrrhula pyrrhula (Linnaeus, 1758)"	""															"NO3"	""	
"*  -  ( Pyrrhula pyrrhula europaea )"	"Chordata"	"Aves"	"Passeriformes"	"Fringillidae"	4623	"Pyrrhula pyrrhula europaea"	"Pyrrhula pyrrhula europaea Vieillot, 1816"	""															"NO3"	""	
"*  Grosbec casse-noyaux  ( Coccothraustes coccothraustes )"	"Chordata"	"Aves"	"Passeriformes"	"Fringillidae"	4625	"Coccothraustes coccothraustes"	"Coccothraustes coccothraustes (Linnaeus, 1758)"	"Grosbec casse-noyaux"	"LC"	""	"NA"	"d"			"LC"	"pr. D1 (-1)"							"NO3"	""	
