"Nom"	"PHYLUM"	"CLASSE"	"ORDRE"	"FAMILLE"	"CD_REF"	"LB_NOM"	"NOM_VALIDE"	"NOM_VERN"	"LRN"	"LRN_det"	"LRR"	"LRR_det"	"DH"	"DH_det"	"PN"	"PN_det"	"PR"	"PR_det"	"PD"	"PD_det"	"ZNIEFF"
"-  ( Trox nodulosus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Trogidae"	200625	"Trox nodulosus"	"Trox nodulosus Harold, 1872"	""													"Déterminante"
"-  ( Stephanopachys linearis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Bostrichidae"	222052	"Stephanopachys linearis"	"Stephanopachys linearis (Kugelann, 1792)"	""					"CDH2"	""							
"-  ( Stephanopachys substriatus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Bostrichidae"	222054	"Stephanopachys substriatus"	"Stephanopachys substriatus (Paykull, 1800)"	""					"CDH2"	""							
"-  ( Chalcophora intermedia )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Buprestidae"	222103	"Chalcophora intermedia"	"Chalcophora intermedia (Rey, 1890)"	""													"Taxon du niveau 2 : espèce déterminante selon critères particuliers. L’assemblage d’un certain nombre d’espèces, ou l’abondance particulière de l’espèce peut justifier le classement en ZNIEFF."
"-  ( Sphenoptera rauca )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Buprestidae"	222125	"Sphenoptera rauca"	"Sphenoptera rauca (Fabricius, 1787)"	""													"Taxon du niveau 2 : espèce déterminante selon critères particuliers. L’assemblage d’un certain nombre d’espèces, ou l’abondance particulière de l’espèce peut justifier le classement en ZNIEFF."
"-  ( Acmaeoderella discoida )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Buprestidae"	222176	"Acmaeoderella discoida"	"Acmaeoderella discoida (Fabricius, 1787)"	""													"Taxon du niveau 2 : espèce déterminante selon critères particuliers. L’assemblage d’un certain nombre d’espèces, ou l’abondance particulière de l’espèce peut justifier le classement en ZNIEFF."
"-  ( Acmaeoderella lanuginosa )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Buprestidae"	222180	"Acmaeoderella lanuginosa"	"Acmaeoderella lanuginosa (Gyllenhall, 1817)"	""													"Taxon du niveau 2 : espèce déterminante selon critères particuliers. L’assemblage d’un certain nombre d’espèces, ou l’abondance particulière de l’espèce peut justifier le classement en ZNIEFF."
"-  ( Acmaeodera revelierei )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Buprestidae"	222185	"Acmaeodera revelierei"	"Acmaeodera revelierei Mulsant & Rey, 1859"	""													"Déterminante"
"-  ( Lionychus sturmii )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	222309	"Lionychus sturmii"	"Lionychus sturmii (Gené, 1836)"	""													"Déterminante"
"-  ( Microlestes fissuralis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	222331	"Microlestes fissuralis"	"Microlestes fissuralis (Reitter, 1901)"	""													"Taxon du niveau 2 : espèce déterminante selon critères particuliers. L’assemblage d’un certain nombre d’espèces, ou l’abondance particulière de l’espèce peut justifier le classement en ZNIEFF."
