"Nom"	"PHYLUM"	"CLASSE"	"ORDRE"	"FAMILLE"	"CD_REF"	"LB_NOM"	"NOM_VALIDE"	"NOM_VERN"	"LRN"	"LRN_det"	"LRR"	"LRR_det"	"DH"	"DH_det"	"PN"	"PN_det"	"PR"	"PR_det"	"PD"	"PD_det"	"ZNIEFF"
"Ténébrion meunier  ( Tenebrio molitor )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Tenebrionidae"	244661	"Tenebrio molitor"	"Tenebrio molitor Linnaeus, 1758"	"Ténébrion meunier, Ténébrion à neuf stries lisses"			"LC"	""									
"-  ( Tenebrio obscurus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Tenebrionidae"	244662	"Tenebrio obscurus"	"Tenebrio obscurus Fabricius, 1792"	""			"LC"	""									
"-  ( Tenebrio opacus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Tenebrionidae"	244663	"Tenebrio opacus"	"Tenebrio opacus Duftschmid, 1812"	""			"NT"	"pr. B2ab(iii)"									"Déterminante"
"-  ( Tribolium castaneum )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Tenebrionidae"	244669	"Tribolium castaneum"	"Tribolium castaneum (Herbst, 1797)"	""			"LC"	""									
"Ténébrion gourmand  ( Uloma culinaris )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Tenebrionidae"	244675	"Uloma culinaris"	"Uloma culinaris (Linnaeus, 1758)"	"Ténébrion gourmand"			"LC"	""									
"Navette violette  ( Platydema violacea )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Tenebrionidae"	244683	"Platydema violacea"	"Platydema violacea (Fabricius, 1790)"	"Navette violette"			"LC"	""									
"-  ( Pentaphyllus testaceus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Tenebrionidae"	244685	"Pentaphyllus testaceus"	"Pentaphyllus testaceus (Hellwig, 1792)"	""			"LC"	""									
"-  ( Palorus depressus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Tenebrionidae"	244702	"Palorus depressus"	"Palorus depressus (Fabricius, 1790)"	""			"LC"	""									
"*  -  ( Trichaphaenops gounellei annae )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	251043	"Trichaphaenops gounellei annae"	"Trichaphaenops gounellei annae Jeannel, 1949"	""							"NI3"	""					
"*  -  ( Trichaphaenops gounellei attenuatus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	251044	"Trichaphaenops gounellei attenuatus"	"Trichaphaenops gounellei attenuatus Jeannel, 1949"	""							"NI3"	""					
"*  -  ( Trichaphaenops gounellei gounellei )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	251045	"Trichaphaenops gounellei gounellei"	"Trichaphaenops gounellei gounellei (Bedel, 1880)"	""							"NI3"	""					
"*  -  ( Trichaphaenops sollaudi sollaudi )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	251049	"Trichaphaenops sollaudi sollaudi"	"Trichaphaenops sollaudi sollaudi Jeannel, 1916"	""							"NI3"	""					
"*  Carabe doré du Ventoux  ( Carabus auratus honnoratii )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	251380	"Carabus auratus honnoratii"	"Carabus auratus honnoratii Dejean, 1826"	"Carabe doré du Ventoux"							"NI3"	""					
"*  Carabe à reflets d'or  ( Carabus auronitens auronitens )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	251421	"Carabus auronitens auronitens"	"Carabus auronitens auronitens Fabricius, 1792"	"Carabe à reflets d'or (Le), Carabe à reflets cuivrés (Le)"							"NI3"	""					
"*  -  ( Carabus solieri bonadonai )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	251430	"Carabus solieri bonadonai"	"Carabus solieri bonadonai Colas, 1948"	""							"NI3"	""					
"*  -  ( Carabus solieri bonnetianus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	251431	"Carabus solieri bonnetianus"	"Carabus solieri bonnetianus Colas, 1937"	""							"NI3"	""					
"*  Grand Capricorne  ( Cerambyx cerdo cerdo )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Cerambycidae"	251483	"Cerambyx cerdo cerdo"	"Cerambyx cerdo cerdo Linnaeus, 1758"	"Grand Capricorne"					"CDH2, CDH4"	" "	"NI2"	""					
"-  ( Timarcha goettingensis arvernensis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Chrysomelidae"	252679	"Timarcha goettingensis arvernensis"	"Timarcha goettingensis arvernensis Laboissière, 1939"	""													"Déterminante"
"-  ( Gonotropis gibbosa )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Anthribidae"	305984	"Gonotropis gibbosa"	"Gonotropis gibbosa LeConte, 1876"	""			"NT"	"pr. B2ab(iii)"									"Déterminante"
"Corinne à pieds bleus  ( Korynetes caeruleus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Cleridae"	306037	"Korynetes caeruleus"	"Korynetes caeruleus (De Geer, 1775)"	"Corinne à pieds bleus"			"LC"	""									
"Grand Clairon  ( Clerus mutillarius )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Cleridae"	306063	"Clerus mutillarius"	"Clerus mutillarius Fabricius, 1775"	"Grand Clairon, Clairon mutile"			"LC"	""									
"-  ( Oomorphus concolor )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Chrysomelidae"	322067	"Oomorphus concolor"	"Oomorphus concolor (Sturm, 1807)"	""			"LC"	""									
"-  ( Gonioctena linnaeana )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Chrysomelidae"	322073	"Gonioctena linnaeana"	"Gonioctena linnaeana (Schrank, 1781)"	""			"VU"	"D2"									"Déterminante"
"-  ( Phratora atrovirens )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Chrysomelidae"	322112	"Phratora atrovirens"	"Phratora atrovirens (Cornelius, 1857)"	""			"CR"	"B2ab(iii)"									"Déterminante"
"-  ( Longitarsus pulmonariae )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Chrysomelidae"	322773	"Longitarsus pulmonariae"	"Longitarsus pulmonariae Weise, 1893"	""			"LC"	""									
"Charançon damier  ( Liophloeus tessellatus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Curculionidae"	328026	"Liophloeus tessellatus"	"Liophloeus tessulatus (O.F. Müller, 1776)"	"Charançon damier"			"LC"	""									
"-  ( Prionychus fairmairii )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Tenebrionidae"	339919	"Prionychus fairmairii"	"Prionychus fairmairii (Reiche, 1860)"	""			"LC"	""									
"Allécule citron  ( Cteniopus sulphureus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Tenebrionidae"	340048	"Cteniopus sulphureus"	"Cteniopus sulphureus (Linnaeus, 1758)"	"Allécule citron"			"LC"	""									
"-  ( Allecula morio )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Tenebrionidae"	340053	"Allecula morio"	"Allecula morio (Fabricius, 1787)"	""			"LC"	""									
